Relative:208,pelco_blank_1,Relative:208,pelco_blank_1,Relative:208,gt_s,Relative:208,gt_s,Relative:208,gt_s,Relative:208,pelco_blank_2,Relative:208,pelco_blank_2,Relative:208,gt,Relative:208,gt,Relative:208,gt,Relative:208,g_s,Relative:208,g_s,Relative:208,g_s,Relative:208,r_s,Relative:208,r_s,Relative:208,r_s,Relative:208,g,Relative:208,g,Relative:208,g,Relative:208,g,Relative:208,r,Relative:208,r,Relative:208,r,Relative:208,r
187.439,113.77,187.439,202.34,187.439,77.09,187.439,110.99,187.439,34.98,187.439,267.18,187.439,123.68,187.439,63,187.439,93.34,187.439,73.53,187.439,35.91,187.439,87.77,187.439,104.95,187.439,13.62,187.439,112.07,187.439,32.97,187.439,66.72,187.439,13.62,187.439,38.39,187.439,25.39,187.439,95.51,187.439,90.56,187.439,2.63,187.439,82.97
187.824,828,187.824,606,187.824,9.43,187.824,25.4,187.824,-10.8,187.824,124.83,187.824,31.15,187.824,11.84,187.824,28.85,187.824,-4.25,187.824,13.79,187.824,54.14,187.824,26.44,187.824,-0.92,187.824,17.01,187.824,85.17,187.824,-12.99,187.824,-13.79,187.824,-32.18,187.824,53.79,187.824,50.69,187.824,30.46,187.824,14.83,187.824,35.86
188.209,302.58,188.209,484.19,188.209,220.57,188.209,142.91,188.209,107.09,188.209,-203.55,188.209,6.03,188.209,150.71,188.209,171.99,188.209,143.62,188.209,76.6,188.209,133.69,188.209,-41.84,188.209,224.11,188.209,-12.77,188.209,37.94,188.209,125.18,188.209,-8.51,188.209,161.7,188.209,49.65,188.209,8.16,188.209,42.2,188.209,186.88,188.209,110.64
188.594,-1380,188.594,-938.89,188.594,57.95,188.594,27.95,188.594,45.64,188.594,253.85,188.594,94.1,188.594,-22.82,188.594,-42.31,188.594,-66.92,188.594,14.36,188.594,63.33,188.594,-23.08,188.594,-59.49,188.594,-27.69,188.594,-56.15,188.594,-106.92,188.594,-47.18,188.594,22.56,188.594,70.77,188.594,158.21,188.594,-51.03,188.594,-44.87,188.594,-10.26
188.979,13233.33,188.979,17816.67,188.979,44.38,188.979,42.31,188.979,68.05,188.979,138.66,188.979,59.86,188.979,55.92,188.979,16.86,188.979,-0.49,188.979,59.17,188.979,78.01,188.979,22.68,188.979,44.97,188.979,71.4,188.979,35.21,188.979,20.41,188.979,37.08,188.979,78.11,188.979,39.84,188.979,51.38,188.979,46.65,188.979,72.68,188.979,82.84
189.364,-6820,189.364,-10530,189.364,88.03,189.364,206.41,189.364,142.74,189.364,-293.16,189.364,-197.86,189.364,208.97,189.364,350.85,189.364,70.51,189.364,-78.63,189.364,120.09,189.364,209.4,189.364,51.28,189.364,148.72,189.364,305.56,189.364,-13.25,189.364,-44.44,189.364,30.77,189.364,-22.22,189.364,71.37,189.364,290.17,189.364,-48.29,189.364,23.93
189.749,222.27,189.749,355.69,189.749,-7.11,189.749,-4.5,189.749,-10.9,189.749,245.97,189.749,7.35,189.749,-89.34,189.749,21.56,189.749,-69.43,189.749,66.35,189.749,20.62,189.749,50.71,189.749,58.77,189.749,31.28,189.749,31.52,189.749,-72.27,189.749,-62.56,189.749,47.39,189.749,-40.76,189.749,-43.36,189.749,-54.74,189.749,30.57,189.749,66.35
190.134,366.31,190.134,225.94,190.134,3.83,190.134,152.55,190.134,20.85,190.134,312.77,190.134,118.94,190.134,93.4,190.134,94.26,190.134,87.45,190.134,83.4,190.134,124.04,190.134,140.85,190.134,100.43,190.134,137.02,190.134,120.21,190.134,44.04,190.134,52.77,190.134,103.83,190.134,38.3,190.134,66.6,190.134,18.94,190.134,-3.19,190.134,11.91
190.519,298.85,190.519,237.03,190.519,-4.53,190.519,11.63,190.519,31.72,190.519,251.06,190.519,84.44,190.519,78.4,190.519,30.66,190.519,-32.18,190.519,119.64,190.519,30.06,190.519,119.34,190.519,54.38,190.519,19.94,190.519,68.43,190.519,11.93,190.519,61.63,190.519,10.88,190.519,65.86,190.519,71.45,190.519,52.11,190.519,118.58,190.519,35.05
190.903,194.97,190.903,267.32,190.903,43.1,190.903,78.45,190.903,34.08,190.903,243.1,190.903,71.97,190.903,37.04,190.903,10.56,190.903,24.08,190.903,55.21,190.903,32.54,190.903,18.87,190.903,25.92,190.903,50.14,190.903,52.54,190.903,40.42,190.903,59.72,190.903,102.54,190.903,-21.97,190.903,46.34,190.903,21.55,190.903,-47.18,190.903,-37.18
191.288,-856.76,191.288,-1271.62,191.288,-147.46,191.288,65.25,191.288,42.37,191.288,703.39,191.288,134.75,191.288,-224.58,191.288,-194.07,191.288,-302.54,191.288,291.53,191.288,-61.86,191.288,-49.15,191.288,61.02,191.288,-10.17,191.288,139.83,191.288,-68.64,191.288,169.49,191.288,20.34,191.288,-186.44,191.288,183.9,191.288,116.1,191.288,-188.98,191.288,-332.2
191.673,413.82,191.673,512.6,191.673,-16.48,191.673,-151.1,191.673,-139.56,191.673,500,191.673,-35.71,191.673,-207.14,191.673,-55.49,191.673,-125.82,191.673,145.05,191.673,-295.05,191.673,-260.44,191.673,-285.71,191.673,-76.92,191.673,-155.49,191.673,-141.21,191.673,-101.1,191.673,136.26,191.673,-173.63,191.673,-30.22,191.673,-267.58,191.673,-368.68,191.673,-39.56
192.057,5427.27,192.057,4640.91,192.057,115.38,192.057,191.76,192.057,1.1,192.057,579.12,192.057,-9.34,192.057,-13.74,192.057,-99.45,192.057,120.33,192.057,-57.14,192.057,-48.9,192.057,38.46,192.057,-189.01,192.057,28.57,192.057,2.75,192.057,-88.46,192.057,74.73,192.057,127.47,192.057,63.74,192.057,31.32,192.057,-39.01,192.057,-8.24,192.057,-153.85
192.442,222.84,192.442,201.88,192.442,41.74,192.442,59.09,192.442,35.81,192.442,151.21,192.442,84.51,192.442,48.14,192.442,61.87,192.442,23.28,192.442,86.83,192.442,33.3,192.442,15.4,192.442,24.49,192.442,73.1,192.442,39.05,192.442,5.84,192.442,34.88,192.442,37.85,192.442,58.26,192.442,33.49,192.442,49.81,192.442,32.75,192.442,9.65
192.827,-207.38,192.827,-267.45,192.827,-95.18,192.827,-69.28,192.827,-46.99,192.827,712.05,192.827,278.92,192.827,-227.11,192.827,-215.06,192.827,-80.12,192.827,-43.37,192.827,148.8,192.827,-44.58,192.827,-159.04,192.827,79.52,192.827,3.01,192.827,-10.24,192.827,-110.84,192.827,72.29,192.827,-65.06,192.827,159.64,192.827,-177.71,192.827,-259.64,192.827,-110.84
193.211,100.65,193.211,218.4,193.211,34.08,193.211,44.65,193.211,-20,193.211,211.55,193.211,58.45,193.211,28.03,193.211,8.31,193.211,-5.21,193.211,-43.94,193.211,34.79,193.211,39.15,193.211,-14.65,193.211,79.44,193.211,-10.56,193.211,15.63,193.211,-50.7,193.211,-46.2,193.211,61.41,193.211,55.35,193.211,-5.49,193.211,-2.11,193.211,19.15
193.596,700,193.596,1032.35,193.596,42.24,193.596,58.83,193.596,-20.76,193.596,192.6,193.596,59.07,193.596,12.29,193.596,33.77,193.596,3.22,193.596,102.15,193.596,48.57,193.596,19.81,193.596,75.42,193.596,59.67,193.596,55.97,193.596,26.61,193.596,56.32,193.596,20.05,193.596,31.03,193.596,31.62,193.596,-8.47,193.596,82.22,193.596,50.6
193.98,433.33,193.98,417.69,193.98,22.08,193.98,55.21,193.98,-29.53,193.98,108.93,193.98,41.56,193.98,-17,193.98,11.29,193.98,39.08,193.98,40.69,193.98,-28.91,193.98,50.37,193.98,4.96,193.98,-25.31,193.98,32.38,193.98,29.65,193.98,10.92,193.98,52.61,193.98,46.15,193.98,42.8,193.98,-2.85,193.98,-61.41,193.98,-26.8
194.365,-411.69,194.365,-153.9,194.365,16.81,194.365,4.28,194.365,52.21,194.365,188.5,194.365,65.93,194.365,78.91,194.365,48.82,194.365,-17.26,194.365,27.14,194.365,78.91,194.365,74.04,194.365,-8.26,194.365,10.03,194.365,5.46,194.365,-0.15,194.365,46.02,194.365,-55.46,194.365,90.27,194.365,50.88,194.365,20.21,194.365,59.14,194.365,-31.86
194.749,284.36,194.749,316.48,194.749,-129.93,194.749,-1.02,194.749,-178.91,194.749,293.2,194.749,21.43,194.749,-242.52,194.749,-301.02,194.749,-83.33,194.749,-122.45,194.749,-139.12,194.749,-57.82,194.749,-165.99,194.749,131.97,194.749,-221.43,194.749,-272.45,194.749,-68.03,194.749,19.05,194.749,148.3,194.749,-127.55,194.749,-105.78,194.749,-37.76,194.749,-57.14
195.133,-3033.33,195.133,-1440.48,195.133,17.1,195.133,29.63,195.133,39.58,195.133,160.89,195.133,24.24,195.133,36.42,195.133,36.89,195.133,-19.32,195.133,-32.79,195.133,98.24,195.133,45.67,195.133,68.38,195.133,36.07,195.133,45.55,195.133,26.11,195.133,45.9,195.133,59.02,195.133,19.2,195.133,38.52,195.133,38.52,195.133,0.12,195.133,-0.94
195.518,153.3,195.518,187.47,195.518,1260,195.518,-770,195.518,300,195.518,-11020,195.518,-1430,195.518,4410,195.518,1810,195.518,2930,195.518,4400,195.518,4250,195.518,5860,195.518,4880,195.518,4600,195.518,2990,195.518,2410,195.518,3760,195.518,-3280,195.518,3800,195.518,-1690,195.518,390,195.518,4470,195.518,2480
195.902,233.52,195.902,123.52,195.902,64.21,195.902,35.05,195.902,37.26,195.902,171.58,195.902,90.84,195.902,20.95,195.902,12.95,195.902,31.47,195.902,22.74,195.902,0.74,195.902,24.21,195.902,17.68,195.902,45.89,195.902,34.21,195.902,79.05,195.902,26.11,195.902,78.32,195.902,32.42,195.902,58.21,195.902,27.89,195.902,40.53,195.902,24.42
196.286,717.58,196.286,851.1,196.286,127.34,196.286,10.43,196.286,35.25,196.286,540.29,196.286,166.55,196.286,-14.75,196.286,147.84,196.286,119.06,196.286,43.17,196.286,117.63,196.286,169.06,196.286,135.25,196.286,76.26,196.286,-38.49,196.286,-34.89,196.286,71.94,196.286,-2.88,196.286,110.79,196.286,187.41,196.286,-152.16,196.286,34.89,196.286,129.5
196.67,333.47,196.67,228.88,196.67,56.52,196.67,28.93,196.67,35.12,196.67,291.3,196.67,130.94,196.67,6.52,196.67,-27.59,196.67,-46.32,196.67,-25.42,196.67,62.71,196.67,102.68,196.67,60.2,196.67,99.67,196.67,54.35,196.67,88.13,196.67,38.8,196.67,1.34,196.67,88.96,196.67,92.47,196.67,84.45,196.67,48.33,196.67,78.93
