Relative:208,sturt_leaf,Relative:208,sturt_leaf,Relative:208,sturt_leaf,Relative:208,sturt_nectar,Relative:208,sturt_nectar,Relative:208,sturt_nectar,Relative:208,sturt_dryefn,Relative:208,sturt_dryefn,Relative:208,sturt_dryefn,Relative:208,aus_leaf,Relative:208,aus_leaf,Relative:208,aus_leaf,Relative:208,aus_nectar1,Relative:208,aus_nectar1,Relative:208,aus_nectar1,Relative:208,aus_dryefn1,Relative:208,aus_dryefn1,Relative:208,aus_dryefn1,Relative:208,aus_leaf2,Relative:208,aus_leaf2,Relative:208,aus_leaf2,Relative:208,aus_nectar2,Relative:208,aus_nectar2,Relative:208,aus_nectar2,Relative:208,aus_dryefn2,Relative:208,aus_dryefn2,Relative:208,aus_dryefn2
186.669,371.19,186.669,129.8,186.669,111.59,186.669,226.82,186.669,36.09,186.669,242.38,186.669,82.45,186.669,153.31,186.669,175.17,186.669,258.28,186.669,121.52,186.669,159.6,186.669,201.32,186.669,104.64,186.669,217.22,186.669,96.69,186.669,166.56,186.669,304.3,186.669,221.52,186.669,122.19,186.669,173.18,186.669,90.4,186.669,213.25,186.669,242.72,186.669,205.96,186.669,267.22,186.669,429.47
187.054,158,187.054,560,187.054,574,187.054,486,187.054,806,187.054,424,187.054,206,187.054,354,187.054,254,187.054,104,187.054,482,187.054,-388,187.054,96,187.054,552,187.054,1440,187.054,312,187.054,530,187.054,-302,187.054,710,187.054,-162,187.054,-470,187.054,862,187.054,728,187.054,710,187.054,-508,187.054,-718,187.054,190
187.439,10.93,187.439,172.19,187.439,26.82,187.439,157.95,187.439,237.42,187.439,-27.81,187.439,2.98,187.439,116.23,187.439,63.91,187.439,168.21,187.439,126.82,187.439,74.83,187.439,174.83,187.439,14.57,187.439,10.6,187.439,33.11,187.439,161.26,187.439,12.91,187.439,57.28,187.439,21.52,187.439,162.58,187.439,5.63,187.439,149.67,187.439,78.48,187.439,137.09,187.439,-13.58,187.439,85.1
187.824,60.77,187.824,18.46,187.824,-333.08,187.824,-391.54,187.824,39.23,187.824,15.38,187.824,-142.31,187.824,-60.77,187.824,36.15,187.824,126.15,187.824,99.23,187.824,-87.69,187.824,-246.15,187.824,40,187.824,-246.15,187.824,-76.92,187.824,-202.31,187.824,-79.23,187.824,-83.85,187.824,-86.92,187.824,126.92,187.824,183.85,187.824,-187.69,187.824,125.38,187.824,-158.46,187.824,-66.92,187.824,-173.08
188.209,574,188.209,1712,188.209,862,188.209,454,188.209,998,188.209,808,188.209,814,188.209,866,188.209,1342,188.209,520,188.209,578,188.209,604,188.209,608,188.209,1768,188.209,1280,188.209,1240,188.209,1746,188.209,1234,188.209,2598,188.209,1022,188.209,586,188.209,2206,188.209,1048,188.209,1830,188.209,836,188.209,1106,188.209,990
188.594,-520.59,188.594,-588.24,188.594,-614.71,188.594,-555.88,188.594,-367.65,188.594,-1211.76,188.594,255.88,188.594,-655.88,188.594,138.24,188.594,-882.35,188.594,332.35,188.594,794.12,188.594,0,188.594,529.41,188.594,282.35,188.594,-905.88,188.594,-1008.82,188.594,-491.18,188.594,-132.35,188.594,-473.53,188.594,-550,188.594,420.59,188.594,835.29,188.594,-1026.47,188.594,-2205.88,188.594,-1008.82,188.594,-426.47
188.979,217.96,188.979,-3.88,188.979,171.36,188.979,223.79,188.979,138.35,188.979,5.83,188.979,-112.14,188.979,116.02,188.979,54.85,188.979,130.1,188.979,22.82,188.979,109.71,188.979,0,188.979,130.1,188.979,163.11,188.979,110.68,188.979,3.4,188.979,50,188.979,76.21,188.979,-131.55,188.979,269.42,188.979,-38.35,188.979,-269.9,188.979,138.35,188.979,-140.78,188.979,205.34,188.979,-154.85
189.364,-50,189.364,-301.23,189.364,19.14,189.364,-215.43,189.364,110.49,189.364,229.63,189.364,4.32,189.364,129.01,189.364,48.77,189.364,-86.42,189.364,-117.9,189.364,-70.37,189.364,98.77,189.364,71.6,189.364,-128.4,189.364,155.56,189.364,183.33,189.364,-191.98,189.364,-136.42,189.364,48.77,189.364,91.98,189.364,108.02,189.364,96.3,189.364,248.77,189.364,-245.68,189.364,-73.46,189.364,305.56
189.749,-4.4,189.749,35.23,189.749,41.19,189.749,-90.41,189.749,87.82,189.749,83.94,189.749,39.12,189.749,41.71,189.749,86.79,189.749,79.79,189.749,74.87,189.749,78.24,189.749,20.73,189.749,83.94,189.749,70.47,189.749,27.98,189.749,114.25,189.749,39.64,189.749,25.65,189.749,182.12,189.749,26.17,189.749,136.53,189.749,77.72,189.749,-57.25,189.749,0.52,189.749,43.78,189.749,206.99
190.134,-99.32,190.134,180.82,190.134,-33.56,190.134,-184.25,190.134,-162.33,190.134,156.16,190.134,-192.47,190.134,-174.66,190.134,-11.64,190.134,-216.44,190.134,208.9,190.134,195.89,190.134,-43.84,190.134,265.75,190.134,142.47,190.134,52.05,190.134,302.05,190.134,170.55,190.134,45.89,190.134,-110.27,190.134,134.93,190.134,393.84,190.134,380.82,190.134,67.81,190.134,121.92,190.134,28.08,190.134,-11.64
