"wl","sturt_leaf","sturt_nectar","sturt_dryefn","aus_leaf","aus_nectar1","aus_dryefn1","aus_leaf2","aus_dryefn2","aus_nectar2"
427,9.41698076349019,7.99266798024167,7.46150281583027,4.33929145353821,2.32015482990377,1.58136641644446,5.07605226316459,2.4765217895913,3.60899803163582
428,9.49675977260592,8.03405627818169,7.4910133577305,4.50206136623277,2.42632347831494,1.6807536128455,5.26708726050636,2.57623425928948,3.78681589429853
429,9.5795939100667,8.08303399072909,7.52561159043381,4.65856145660095,2.52688740004284,1.77583547217814,5.45272083203194,2.67409130603898,3.954248149473
430,9.65956483735697,8.13315791680863,7.55996038952928,4.8047257836267,2.61546046418634,1.85861210817589,5.62554476076761,2.76729614566785,4.10685625693402
431,9.73075421596114,8.1779848553451,7.588722630606,4.93648840629399,2.68565653984429,1.92108363457229,5.77815082973963,2.8530519940041,4.24020167645643
432,9.78724370736363,8.21107160526328,7.60656118925307,5.0497833835868,2.73108949611555,1.95525016510086,5.90313082197426,2.92856206687575,4.34984586781506
433,9.81995036736356,8.23812907607914,7.61263229914565,5.13561102850821,2.74880579364304,1.95740732673062,6.00731105984092,2.99835064875715,4.43497796446889
434,9.83132803091243,8.2680310994935,7.61204860288746,5.1944227798146,2.74416502575723,1.93444485763788,6.10106475617534,3.06676528862278,4.49985420439066
435,9.83276352822324,8.29907885770837,7.60840758946047,5.2363293851199,2.72325076058836,1.89425403836708,6.18230402970336,3.13074409905082,4.54763670412574
436,9.83564368950899,8.32957353292579,7.60530674784666,5.271441592038,2.69214656626664,1.84472614946268,6.24894099915077,3.18722519261948,4.58148758021954
437,9.85135534498267,8.35781630734778,7.60634356702797,5.30987014818281,2.65693601092233,1.79375247146912,6.29888778324341,3.23314668190695,4.60456894921746
438,9.89128532485729,8.38210836317638,7.61511553598638,5.36172580116825,2.62370266268563,1.74922428493085,6.33005650070707,3.26544667949142,4.62004292766489
439,9.92827124333091,8.39169212067086,7.61813089523184,5.40497858994698,2.56552642595351,1.67666892506171,6.30818424921689,3.27249261928676,4.5887640733931
440,9.93992721169034,8.38382478036517,7.606433516306,5.42051483281837,2.46514679391943,1.55407345290157,6.22115470025172,3.2526636802301,4.49194326269582
441,9.94480480578172,8.36882969487335,7.59042433473837,5.42281969641638,2.34313671790835,1.40801873773397,6.10009983324305,3.2179155924346,4.36327708981211
442,9.96145560145116,8.35703021680942,7.58050428605843,5.42637834737498,2.22006914924522,1.26508564884241,5.97615162762232,3.18020408601342,4.23646214898103
443,10.0084311745448,8.35874969878741,7.58707430579568,5.44567595232816,2.11651703925501,1.15185505551041,5.88044206282102,3.15148489107972,4.14519503444166
444,10.1042831009088,8.38431149342134,7.62053532947964,5.49519767790989,2.05305333926268,1.09490782702149,5.8441031182706,3.14371373774664,4.12317234043306
445,10.2513701971281,8.41782344303255,7.6646067072596,5.55929493135371,2.00516208230787,1.07387348760097,5.8281955914882,3.12307225691436,4.15068289395279
446,10.4330831876572,8.44271974646795,7.70235718802431,5.61788005284865,1.94326920947043,1.05472349812505,5.78671051767678,3.06393675426807,4.18624429679077
447,10.6395215101459,8.46831329112992,7.74321180541241,5.67877960846185,1.88036053413561,1.0435516328536,5.74017523279656,2.99055497209849,4.2308963053746
448,10.8607846022441,8.50391696442089,7.79659559306253,5.74982016426047,1.82942186968868,1.0464516660465,5.70911707280773,2.92717465269635,4.28567867613187
449,11.0869719016018,8.55884365374326,7.8719335846133,5.83882828631165,1.80343902951489,1.06951737196359,5.7140633736705,2.89804353835237,4.3516311654902
450,11.3081828458688,8.64240624649944,7.97865081370336,5.95363054068255,1.81539782699951,1.11884252486475,5.77554147134507,2.92740937135728,4.42979352987717
451,11.5710333769316,8.77591038315135,8.14463874782679,6.11042878139823,1.88150538674002,1.21700690692823,5.91153500114188,3.01919621767237,4.53770780757847
452,11.9072671078377,8.96098272605417,8.37493974161668,6.30991779428927,1.9975051541281,1.36959713372895,6.1115212997633,3.15303182968161,4.68361491807505
453,12.2846749829787,9.17741769545016,8.64470515942018,6.53666354313102,2.14568742374029,1.55721722962181,6.35326825525746,3.3167194793097,4.85460293958744
454,12.6710479467464,9.40500971158157,8.92908636558444,6.77523199169886,2.30834249015316,1.76047121896169,6.61454375567245,3.49806243848136,5.03775995033615
455,13.0341769435325,9.62355319469065,9.20323472445659,7.01018910376818,2.46776064794324,1.9599631261035,6.8731156890564,3.68486397912127,5.22017402854169
456,13.3418529177286,9.81284256501966,9.44230160038378,7.22610084311433,2.60623219168709,2.13629697540211,7.10675194345741,3.86492737315414,5.38893325242459
457,13.5618668137267,9.95267224281086,9.62143835771316,7.40753317351269,2.70604741596125,2.27007679121244,7.29322040692361,4.02605589250468,5.53112570020537
458,13.7211031343016,10.0692196716057,9.77407436889856,7.58649148288886,2.78871803768967,2.37935546945068,7.48040872560781,4.2151157516538,5.6753581845923
459,13.8647684716953,10.19536877917,9.94041949277923,7.79248263112668,2.88247119064552,2.49250828533607,7.71289580045068,4.46491800846445,5.84739594094114
460,13.9881369044991,10.3209737120827,10.1057958232804,8.00632478993893,2.97967029467919,2.60562283217799,7.96348640168208,4.74218319993436,6.03006468144359
461,14.0864825113048,10.4358886169226,10.2555254543275,8.20883613103842,3.07267876964104,2.71478670328585,8.20498529953192,5.01363186306129,6.20619011829138
462,14.1550793707038,10.5299676402686,10.3749304798457,8.38083482613791,3.15386003538146,2.81608749196904,8.41019726423005,5.245984534843,6.35859796367622
463,14.1892015612878,10.5930649286995,10.4493329937603,8.5031390469502,3.21557751175083,2.90561279153696,8.55192706600636,5.40596175227724,6.47011392978981
464,14.1541253935936,10.6147048135038,10.4716749477763,8.58230213015673,3.25903595455548,2.98891173141004,8.63245736195828,5.51233108939446,6.55050382764849
465,14.0392691551708,10.5993041363233,10.452696551506,8.63931876188252,3.29129345327346,3.07059828795538,8.67682364855892,5.6044996944178,6.61857939209021
466,13.8761198901299,10.5590558092672,10.4044172857351,8.67666913800568,3.31349342826264,3.14535732490234,8.69195995510173,5.68014746563403,6.67073522103916
467,13.6961646425813,10.5061527444449,10.3388566312495,8.69683345440433,3.32677929988091,3.20787370598025,8.68480031088015,5.73695430132988,6.7033659124195
468,13.5308904566354,10.4527878539654,10.2680340688352,8.70229190695658,3.33229448848615,3.2528322949185,8.66227874518764,5.77260009979211,6.7128660641554
469,13.4117843764028,10.4111540499381,10.2039690792779,8.69552469154054,3.33118241443625,3.27491795544642,8.63132928731762,5.78476475930747,6.69563027417104
470,13.2845617169968,10.3356481783109,10.0853720085544,8.63066897582441,3.29083019753419,3.2493773292882,8.54704245863202,5.7267964598232,6.6312386737035
471,13.0964029528488,10.1957331950402,9.87480603188001,8.48620368895123,3.19643762174317,3.17228356264407,8.38519807840697,5.58069118087266,6.51711906497788
472,12.8809928670456,10.0262011772481,9.62006987389846,8.30112166901148,3.07586710366142,3.06956127595739,8.18376412280725,5.38710052012181,6.3764375524004
473,12.6720162426744,9.86184420205662,9.36896225925343,8.11441575409562,2.95698105988716,2.96713508967157,7.98070856799764,5.18667607523662,6.23236024037728
474,12.5031578628221,9.73745434658769,9.16928191258863,7.96507878229412,2.86764190701862,2.89092962422998,7.81399939014295,5.02006944388306,6.10805323331472
475,12.4081025105756,9.68782368796338,9.06882755854775,7.89210359169745,2.83571206165402,2.866869500076,7.72160456540793,4.92793222372708,6.02668263561894
476,12.3781925086679,9.71139627948812,9.05388296330837,7.87881872200081,2.85459944778762,2.8809645527651,7.6816273207257,4.89574754886792,5.96693412601338
477,12.3786951327214,9.77557592082451,9.0741909325122,7.88073910613083,2.89577076625366,2.90157114026699,7.64764735151255,4.87927519922123,5.89493948718034
478,12.4041825951574,9.86859430863178,9.12273874999917,7.89513717202514,2.95417659891034,2.92813366664645,7.62084733665808,4.87458174117756,5.81503397946439
479,12.4492271083974,9.97868313956915,9.19251369960921,7.91928534762135,3.02476752761586,2.96009653596827,7.60240995505188,4.87773374112752,5.73155286321005
480,12.5084008848628,10.0940741102959,9.27650306518226,7.95045606085705,3.10249413422841,2.99690415229724,7.59351788558353,4.88479776546166,5.64883139876186
481,12.576276136975,10.2029989174711,9.36769413055823,7.98592173966986,3.18230700060619,3.03800091969813,7.59535380714264,4.89184038057058,5.57120484646439
482,12.6474250771554,10.2936892577542,9.45907417957706,8.0229548119974,3.2591567086074,3.08283124223574,7.60910039861879,4.89492815284484,5.50300846666215
483,12.7431029888775,10.3783868951043,9.56720160738305,8.0869665357008,3.3523013032574,3.1410250479464,7.63995201401743,4.90784315163039,5.44555226175829
484,12.8776779182845,10.4744043951687,9.70627595727876,8.19237813913502,3.47478369752694,3.21798617940033,7.69014943116678,4.94090828446975,5.39702720745439
485,13.0353912218018,10.5775796571388,9.8657462353415,8.31997700597843,3.61223177519225,3.3068199124631,7.75644496469067,4.98500137504837,5.35709002404272
486,13.2004842558551,10.6837505802058,10.0350614476486,8.45055051990936,3.75027342002961,3.40063152300028,7.83559092921288,5.03100024705173,5.32539743181554
487,13.3571983768699,10.7887550635611,10.2036706002774,8.56488606460617,3.87453651581525,3.49252628687744,7.92433963935722,5.06978272416527,5.30160615106511
488,13.4897749412717,10.8884310063959,10.3610226993052,8.64377102374721,3.97064894632542,3.57560947996016,8.0194434097475,5.09222663007446,5.28537290208369
489,13.6022538810758,10.9797617264747,10.5254456741155,8.686830907769,4.05629530696253,3.6711962998532,8.13760615226906,5.09872741480867,5.28693075198285
490,13.7117658940921,11.0656555219369,10.7148839255633,8.71207966613963,4.15313005443127,3.7951282653284,8.28840398580627,5.09784495927006,5.30977782514193
491,13.8221884854382,11.1508377625366,10.9182111669332,8.72788734108481,4.25273586446137,3.93230013400196,8.45789753548148,5.09270373345328,5.34346842775487
492,13.9373991602318,11.2400338180279,11.1243011115096,8.74262397483027,4.34669541278256,4.06760666349007,8.63214742641706,5.086428207353,5.37755686601559
493,14.0612754235905,11.3379690581647,11.322027472577,8.76465960960172,4.42659137512458,4.18594261140893,8.79721428373536,5.08214285096387,5.401597446118
494,14.1976947806319,11.4493688527012,11.50026396342,8.80236428762487,4.48400642721715,4.27220273537472,8.93915873255873,5.08297213428054,5.40514447425605
495,14.3113348957346,11.5377619033141,11.6357688019998,8.80920825587636,4.47759506754029,4.3015663884079,9.03650613297746,5.05751548414635,5.35450114768135
496,14.3835529104884,11.5830243724001,11.7289362456324,8.75735932013326,4.39789255094449,4.27733353808369,9.09353999863781,4.98990903479421,5.24559740288947
497,14.4432455458282,11.6144028207924,11.8040940666339,8.68323386082197,4.28430268771516,4.22657986385044,9.13495818499615,4.90658231730321,5.11242765494021
498,14.5193095226889,11.6611438093246,11.8855700373204,8.62324825836887,4.17622928813768,4.1763810451565,9.18545854750887,4.83396486275245,4.98898631889336
499,14.6406415620054,11.75249389883,11.997691930008,8.61381889320036,4.11307616249747,4.1538127614502,9.26973894163231,4.79848620222099,4.90926780980873
500,14.8361383847123,11.9176996501419,12.164787517013,8.69136214574283,4.13424712107992,4.1859506921799,9.41249722282286,4.82657586678793,4.90726654274612
501,15.0967685329119,12.1627229008946,12.3849404540069,8.85645564992609,4.22619127405198,4.27398219044153,9.60955032844105,4.93448410893714,4.99758963218344
502,15.3911587504486,12.4637557035642,12.6349695899859,9.07567849511353,4.34539305565943,4.39330683869175,9.83609465081475,5.10525720412248,5.15584836042538
503,15.714693060871,12.805389941247,12.9073054872525,9.33444924488191,4.48630926230597,4.53231866041995,10.0858972278513,5.31551871787796,5.357543394272
504,16.0627554877278,13.1722174970393,13.1943787081091,9.61818646280798,4.64339669039531,4.67941167911553,10.352725097458,5.5418922157376,5.57817540052331
505,16.4307300545673,13.5488302540373,13.4886198148584,9.91230871246849,4.81111213633113,4.82297991826789,10.6303452975423,5.76100126323542,5.79324504597935
506,16.8140007849383,13.9198200953375,13.7824593698027,10.2022345574402,4.98391239651714,4.95141740136642,10.9125248660114,5.94946942590544,5.97825299744016
507,17.2079517023891,14.269778904036,14.0683279352446,10.4733825612998,5.15625426735703,5.05311815190052,11.1930308407727,6.08392026928167,6.10869992170577
508,17.6433323354003,14.6270550703554,14.3493871405982,10.7482152762448,5.33946076477325,5.13381195652951,11.4714763854089,6.17882551144892,6.19540894953409
509,18.1389015925567,15.0198659568035,14.6350488923688,11.0524807406433,5.54551331610326,5.20913343556685,11.7544589924954,6.2655545444319,6.26914388872499
510,18.6720575675635,15.4326069049048,14.9271191684958,11.3765257473282,5.76985633487334,5.28233386298318,12.0462221934282,6.34607744467445,6.33531642164137
511,19.2201983541259,15.849673256184,15.2274039469186,11.7106970891325,6.00793423460976,5.3566645127491,12.3510095196035,6.42236428862044,6.39933823064616
512,19.7607220459489,16.2554603521654,15.5377092055764,12.0453415588892,6.25519142883878,5.43537665883525,12.6730645024172,6.49638515271371,6.46662099810226
