"wl","gt_s","gt","g_s","r_s","g","r"
412,6.71753297821408,-1.46163768282898,8.32851621373727,5.19376851187929,0.261722315884432,-0.688649134133306
413,6.73052544294125,-1.38071957735654,8.33374298250116,5.23606563952005,0.299578297100541,-0.652118109864862
414,6.75583020779075,-1.30192638609635,8.35395082671232,5.29091344101171,0.336815675300643,-0.610813381015443
415,6.7956058544302,-1.23222842328963,8.39877482425192,5.37284983353564,0.374576326216083,-0.568799958500642
416,6.84522716401209,-1.16953917473022,8.45968698352727,5.47142069883132,0.412225155097974,-0.527360018750916
417,6.9000689176889,-1.11177212621195,8.52815931294573,5.57617191863819,0.449127067197425,-0.48777573819672
418,6.95550589661312,-1.05684076352865,8.59566382091461,5.67664937469571,0.484646967765546,-0.45132929326851
419,7.00691288193723,-1.00265857247414,8.65367251584126,5.76239894874335,0.518149762053449,-0.419302860396743
420,7.06039913473039,-0.95392357094443,8.70861241342892,5.84325663525128,0.547577517993915,-0.391879237841131
421,7.12297634298979,-0.914557901985647,8.77128267386497,5.93319232846909,0.572557576497878,-0.367969334359457
422,7.19137292825998,-0.881311239116818,8.83971352228296,6.02795275980531,0.594982752283672,-0.346947492129282
423,7.26231731208549,-0.850933255856969,8.91193518381642,6.12328466066847,0.61674586006963,-0.328188053328169
424,7.33253791601088,-0.820173625725128,8.98597788359889,6.21493476246709,0.639739714574088,-0.311065360133679
425,7.39876316158068,-0.78578202224032,9.05987184676389,6.29864979660971,0.66585713051538,-0.294953754723374
426,7.45633218910627,-0.752659727686314,9.12702578070827,6.37324498645716,0.689574667264774,-0.283480712657324
427,7.50590434138956,-0.726172899821309,9.18594539910109,6.44211811383126,0.706563022375555,-0.278859234747578
428,7.55218834371089,-0.703768525375979,9.24230643648421,6.50788974783209,0.720506217839084,-0.278341951049668
429,7.59989292135061,-0.682893591080999,9.3017846273995,6.57318045755969,0.735088275646721,-0.279181491619127
430,7.65372679958904,-0.660995083667045,9.37005570638881,6.64061081211413,0.753993217789824,-0.278630486511487
431,7.71839870370652,-0.635519989864791,9.45279540799402,6.71280138059547,0.780905066259754,-0.273941565782279
432,7.79861735898339,-0.603915296404912,9.55567946675699,6.79237273210375,0.819507843047871,-0.262367359487036
433,7.88272449415124,-0.572377756581005,9.65963361483617,6.86653953796189,0.867677662064951,-0.249449212890618
434,7.96100335033156,-0.546130295993393,9.75074487208251,6.92706070643586,0.920619198766041,-0.240587526132259
435,8.04107492138958,-0.521159159832843,9.84243090457664,6.98337316204034,0.978009317458909,-0.232823511579055
436,8.1305602011905,-0.493450593290122,9.94810937839916,7.04491382929001,1.03952488245132,-0.223198381598101
437,8.23708018359956,-0.458990841555998,10.0811979596307,7.12111963269956,1.10484275805105,-0.208753348556491
438,8.36825586248195,-0.413766149821237,10.2551143143519,7.22142749678366,1.17363980856586,-0.186529624821319
439,8.5337703803179,-0.354047061487948,10.4697808196699,7.34884343921522,1.25516053047172,-0.151603631587352
440,8.73030339858914,-0.282128718426854,10.712700321135,7.495858773056,1.35345006226692,-0.104501991314907
441,8.94597068966322,-0.203034263531641,10.9786611874922,7.65613836590394,1.46038623129269,-0.050441218269415
442,9.16888802590767,-0.121786839695994,11.2624517874863,7.82334708535698,1.56784686489028,0.00536217328369622
