"wl","greenfolder","redfolder","darkgreenvinyl","greenvinyl","redvinyl","insidegreenfolder","insideredfolder","greenleafpoisonivy","greenleafgrapelower","greenleafgrapeupper","greenleafverygreen","redleafpoinsettia","redleafcarnation","greenbag","greenfoam","redfoam","redpaper","redswatch1314","redpaint","redtape","greencalibrate","darkgreencalibrate","redcalibrate","insideredfoldermattenp","insidegreenfoldermattenp","greenfoldermattenp","redfoldermattenp","redswatch1315mattenp","darkgreenvinylmattenp","redvinylmattenp","greenvinylmattenp"
602,35.3631642410867,46.3452231550377,66.4001135484357,71.4274763749226,99.9881885496727,22.9761026435829,38.4874090936567,8.7043927848365,8.73785028583131,7.29259055075731,4.10628817594548,17.7000772201069,39.7434218240647,21.6566905920871,13.8461024341841,64.3887053471722,110.902593939882,171.017388484327,77.6089724725136,194.51853207221,6.91391941039723,6.31358195817024,26.9517422400255,17.6309723893728,2.23912345602252,16.9859071879917,18.9822154656758,48.7855167712134,-1.25295791580535,32.6205931774497,1.4964644483944
603,35.0609364225548,47.608869995936,66.2784872584348,71.2775283049224,101.488915003201,22.7581489583456,39.9581810619132,8.78327824088252,8.67174197004718,7.17300847769303,4.0723179277706,18.4817984447459,40.5507413682704,21.3353567060791,13.4427249769538,65.0493413755905,113.872673392196,173.778492822179,81.942917596048,198.186743551809,6.37584194793334,6.23244167366484,28.2395606607403,18.5373654018008,2.05130451867564,16.8413718714262,20.0053669617105,50.1545223641615,-1.27812539775272,33.9966760819115,1.4473195726594
604,34.7611667061469,48.8802423451511,66.1455119019625,71.1212280404987,102.969438009841,22.5429636500062,41.4352144222223,8.86872813786121,8.59908853819178,7.0681575116792,4.03695079172776,19.2699494690601,41.3204100777821,21.008043269756,13.0407872462736,65.6368499694657,116.75005975908,176.250835495326,86.3534284268892,201.677396492633,5.84201441734919,6.15655116458884,29.4799532826343,19.4271377591703,1.87347737697668,16.705436990734,21.0238872148615,51.4518799069455,-1.30184042678898,35.3466784929125,1.40461108901515
605,34.4859391653922,50.15516533191,66.0190599585774,70.9711181208217,104.41220155807,22.3443520512009,42.8713413590649,8.94557336898895,8.51867962152575,6.98088142641686,4.00457599446093,20.0683388388808,42.0694041554519,20.6770239895595,12.6615688556787,66.1880883525519,119.541401796618,178.504260058369,90.6764878174979,204.789324221272,5.34444099774073,6.08337066145366,30.6643789397634,20.275968676377,1.7073456312385,16.5777333381477,22.0101533914714,52.681110057279,-1.32307063907913,36.6594125413513,1.36431875942043
606,34.2573378738201,51.42946408544,65.9170039078381,70.8397410850612,105.799649636367,22.1761194945657,44.219394056922,8.99864482748211,8.42930485130974,6.91402399560704,3.9795827626141,20.8807751000394,42.8146998041317,20.3445725719315,12.3263494187047,66.7399137486033,122.253348260894,180.60861006591,94.7480786203349,207.321360064316,4.91512586820391,6.01036039477074,31.7842964661836,21.0595373683163,1.55461288177396,16.4578917058998,22.936542657883,53.8457334728757,-1.34078367078819,37.9236903581261,1.32242234583402
607,34.0974469049599,52.6989637349681,65.8572162293031,70.7396394723872,107.11422623321,22.0520713127368,45.4322047002745,9.01277340655706,8.32975385880439,6.87042899295079,3.96636032283123,21.7110667983672,43.5732732266736,20.0129627233136,12.0564085488871,67.329183381374,124.89254790799,182.63372907255,98.4041836878609,209.072337348355,4.5860732078347,5.93498059505147,32.8311646959507,21.753523049884,1.41698272889591,16.3455428862229,23.775432180439,54.949270811449,-1.35394715808114,39.1283240741353,1.27490161021471
608,34.0338812662394,54.0312386048084,65.8314485344566,70.6747597365143,108.417420004767,21.9779029759143,46.5672778821555,8.99282619570065,8.19519962013777,6.87679373854976,3.95016152060276,22.5676303364497,44.3571496328069,19.6421180544087,11.8302714483479,67.8952140361369,127.45642796208,184.403821165525,101.839698791349,209.755454913687,4.34543844092697,5.85818867369378,33.7861553267333,22.3748338481201,1.3001807339629,16.2486479533873,24.5631174274325,55.9661478628111,-1.35722047569037,40.2874080690956,1.23040161965232
609,34.0549782292547,55.4599025947409,65.8189656023893,70.6363908570383,109.756530392491,21.9417685101009,47.698694491521,8.95982702935154,8.01860214894478,6.94439093426261,3.92070602602129,23.4518591723243,45.1563121373545,19.2157394619987,11.6165973031789,68.3782636673101,129.938186401522,185.776718354639,105.309145330333,209.441823684093,4.15245982421657,5.78174733586983,34.648860023664,22.955876133533,1.20506953986225,16.1711545555964,25.3437451226846,56.8822266349848,-1.34933051813927,41.4189669017078,1.19673330059917
610,34.1239052637878,56.9298401971908,65.8189096640703,70.6180891619509,111.092717562789,21.931161081636,48.8041511567368,8.92284191815378,7.82543163274634,7.05292742642595,3.88908330263405,24.3570274350005,45.954673800809,18.771766581644,11.4218667028703,68.8166012523654,132.338128113686,186.872706078339,108.737944599668,208.467145111388,3.99576578546243,5.70432475275249,35.4383675719947,23.4955764862203,1.12605836919993,16.1066733459827,26.1014693158299,57.718182113,-1.33534620127937,42.5177079713468,1.16862520405783
611,34.2038298396209,58.3859359045838,65.8304229504686,70.6134109792436,112.387141682067,21.9335738568591,49.8613445061683,8.89093687275143,7.64115825906337,7.18211006137636,3.86638281398829,25.2764092534874,46.7361476836633,18.3481390489048,11.2525602369124,69.2484957687746,134.656557985938,187.81206977507,112.051517894205,207.167120647386,3.86398475242344,5.6245890955146,36.1737667569771,23.9928614862799,1.05755644458193,16.0488149776785,26.820444056503,58.4946892818866,-1.32033644096221,43.5783386773872,1.14080588103085
612,34.2579194265362,59.7730742093454,65.8526476925531,70.6159126369081,113.600962916731,21.9365000021097,50.8479711681812,8.87317790378854,7.49125221541682,7.31164568545045,3.86369402363124,26.2032787567946,47.4846468464099,17.9827964993418,11.1151584947952,69.7122161940097,136.893780905646,188.715094883279,115.175286508799,205.877451743901,3.74574515285854,5.54120853532902,36.8741463638634,24.4466577138094,0.993972988614224,15.9911901038162,27.4848233943385,59.2324231266745,-1.30937015303935,44.5955664192038,1.10800388252079
613,34.2493414943156,61.0361396039008,65.8847261212927,70.619150462936,114.695341433188,21.9274326837271,51.741727771141,8.87863102190918,7.40118368932758,7.4212411449848,3.89210639511015,27.1309100739314,48.1840843495415,17.7136785685152,11.0161420660092,70.2460315055425,139.050101760177,189.702066841415,118.034671738302,204.93383985275,3.62967541452663,5.45285124336861,37.5585951779052,24.8558917489065,0.929717223902807,15.9274093775281,28.0787613789709,59.9520586323936,-1.3075162533623,45.5640985961714,1.06494775953022
614,34.2004590723071,62.2217851103932,65.9276563022295,70.6285138219398,115.679771889988,21.9408707268395,52.5207856094132,8.88118930863111,7.33454671460225,7.53903512968411,3.96434735795636,28.0999029580087,48.8749719925185,17.5154410077592,10.9801290883186,70.8790256639797,141.171927842271,190.68562884659,120.399404543712,203.570321388869,3.55002304792629,5.34520230476963,38.1892019519053,25.1998039127596,0.875214029038283,15.8579790399991,28.5974977808397,60.6140595598259,-1.31268471414264,46.4898793564721,1.0104452231824
615,34.1566063078255,63.4016951581798,65.9816057893889,70.650042110786,116.593319561208,22.0056713212701,53.1961991114043,8.85829242420067,7.2489396393397,7.6924815936903,4.07446948222507,29.1314716817801,49.5875653026073,17.3388868853788,11.0097214261764,71.5843939358699,143.276899720222,191.511112795945,122.237598226816,201.14996409184,3.53386656884452,5.21348626731865,38.7332093864311,25.4707884702808,0.839974084962256,15.7890920347077,29.0541231258827,61.1827226385228,-1.31895145559238,47.3798842722074,0.949467351512651
616,34.115407347603,64.5583013505073,66.044471046465,70.6782667058471,117.441500536547,22.1008651804014,53.7949896065422,8.82432624735476,7.16083912249938,7.86026027999583,4.2055499422492,30.1898121537188,50.2903929320094,17.1861768123912,11.078375259105,72.3165722575977,145.322172194722,192.197837177962,123.772247593653,198.202016400435,3.55908091297281,5.07068049616394,39.2174371883822,25.6875029171533,0.817035317807196,15.7228890682266,29.4595675969825,61.6844723066688,-1.32563431556381,48.2303678786313,0.885987745891593
617,34.0744863383722,65.6740352906228,66.1141485371516,70.7077189834957,118.229830905702,22.2054830176159,54.3441784242548,8.7936766568303,7.08672182304073,8.02105093159312,4.34066591236171,31.2391202822981,50.9519835329263,17.0594713998135,11.1595467666272,73.0299965655476,147.264900066469,192.765120481125,125.226347450263,195.255726753432,3.60354101600268,4.92976235645379,39.668705064658,25.8686047490605,0.799435653705578,15.6615108471286,29.8247613770218,62.1457330024483,-1.33205113190916,49.037584710998,0.823980007689861
